제품명,브랜드,가격,사이즈,경도,특징,리뷰요약,리뷰본문
템퍼 럭셔리 하이브리드,템퍼,2800000,싱글,미디엄,"체압분산, 메모리폼, 부드러운 쿠션감","허리 통증 완화, 꺼짐 없음","처음에는 딱딱하고 몸에 맞지 않는 것 같았는데, 2주 정도 지나고 나니 정말 숙면할 수 있게 되었어요. 허리 통증도 거의 사라졌고, 누울 때마다 몸이 싹 감싸지는 느낌이 듭니다."
슬로우 하이브리드,슬로우슬립,3000000,퀸,소프트,"부드러운 쿠션감, 소음 적음, 통기성 우수",적당히 단단해서 좋음,친환경 매트리스라는 점이 마음에 들어 구매했는데 실제로도 쾌적하고 냄새가 없어서 좋았습니다. 다만 커버가 얇아서 보호패드 추가 사용 추천해요.
동서 디럭스,동서가구,3900000,퀸,소프트,"진동흡수, 통기성 우수, 복원력 우수",복원력이 좋고 꺼짐이 없다,"포켓스프링 모델로 구매했는데 허리를 잘 받쳐줘서 자고 일어났을 때 개운해요. 가격 대비 성능이 좋고, 디자인도 심플해서 만족해요."
일룸 모션베드용,일룸,1900000,퀸,미디엄,"진동흡수, 통기성 우수","허리 통증 완화, 꺼짐 없음","일룸 매트리스는 가격 대비 퀄리티가 좋아요. 너무 푹신하지도 않고, 단단하지도 않아서 자는 동안 뒤척임이 줄어든 걸 확실히 느껴요."
슬로우 에코슬립,슬로우슬립,2400000,싱글,소프트,"고급소재, 독립스프링",가격대비 성능 좋음,"처음 누웠을 때 몸이 싹 감기는 느낌이라 잠이 잘 왔어요. 너무 푹신하지 않아서 허리에도 부담이 덜했고, 통기성도 꽤 좋았습니다."
일룸 아르떼,일룸,2000000,슈퍼싱글,미디엄,"고급소재, 부드러운 쿠션감",몸이 푹신하게 감싸진다,"일룸 매트리스는 가격 대비 퀄리티가 좋아요. 너무 푹신하지도 않고, 단단하지도 않아서 자는 동안 뒤척임이 줄어든 걸 확실히 느껴요."
템퍼 오리지널,템퍼,2300000,킹,미디엄,"소음 적음, 진동흡수, 부드러운 쿠션감","허리 통증 완화, 꺼짐 없음","5년 가까이 사용 중인데 꺼짐도 거의 없고, 여전히 처음 같아요. 다만 너무 더울 땐 약간 답답하게 느껴질 때가 있습니다. 전반적으로 만족합니다."
슬로우 오가닉폼,슬로우슬립,3800000,퀸,미디엄,"고급소재, 스프링+폼 하이브리드",몸이 푹신하게 감싸진다,친환경 매트리스라는 점이 마음에 들어 구매했는데 실제로도 쾌적하고 냄새가 없어서 좋았습니다. 다만 커버가 얇아서 보호패드 추가 사용 추천해요.
동서 네이처스,동서가구,2400000,킹,미디엄,"고급소재, 복원력 우수, 독립스프링",냄새 적고 시원하다,"포켓스프링 모델로 구매했는데 허리를 잘 받쳐줘서 자고 일어났을 때 개운해요. 가격 대비 성능이 좋고, 디자인도 심플해서 만족해요."
일룸 프레시폼,일룸,3500000,킹,미디엄,"진동흡수, 부드러운 쿠션감",가격대비 성능 좋음,일룸 침대 프레임이랑 함께 사용했는데 딱 맞고 안정감 있어요. 냄새도 거의 없고 바로 사용해도 문제 없었습니다.
