제품명,브랜드,가격,사이즈,경도,특징,리뷰요약
뷰티레스트 스위트,시몬스,1600000,킹,하드,"고급소재, 진동흡수","허리가 편하다, 소음이 적다"
뷰티레스트 허브,시몬스,1800000,슈퍼싱글,소프트,"통기성 우수, 체압분산, 독립스프링","허리가 편하다, 소음이 적다"
뷰티레스트 레이븐,시몬스,3350000,킹,하드,"스프링+폼 하이브리드, 복원력 우수, 고급소재",몸이 푹신하게 감싸진다
뷰티레스트 시트러스,시몬스,2450000,슈퍼싱글,소프트,"진동흡수, 독립스프링, 부드러운 쿠션감",몸이 푹신하게 감싸진다
뷰티레스트 퓨전,시몬스,3800000,싱글,소프트,"진동흡수, 소음 적음",가격대비 성능 좋음
뷰티레스트 머스크,시몬스,2450000,슈퍼싱글,소프트,"진동흡수, 스프링+폼 하이브리드",냄새 적고 시원하다
뷰티레스트 자스민,시몬스,3050000,킹,소프트,"체압분산, 통기성 우수",탄탄하고 안정감 있다
뷰티레스트 바이브,시몬스,2000000,퀸,소프트,"메모리폼, 통기성 우수, 체압분산",푹신하고 지지력 좋음
뷰티레스트 허벌,시몬스,1900000,퀸,미디엄,"진동흡수, 고급소재, 메모리폼",복원력이 좋고 꺼짐이 없다
뷰티레스트 탠저린,시몬스,3200000,퀸,미디엄,"메모리폼, 고급소재, 진동흡수",복원력이 좋고 꺼짐이 없다
N32 하드,시몬스,3150000,킹,하드,"복원력 우수, 부드러운 쿠션감, 진동흡수","허리가 편하다, 소음이 적다"
N32 레귤러,시몬스,2050000,킹,하드,"고급소재, 소음 적음",몸이 푹신하게 감싸진다
N32 소프트,시몬스,2250000,퀸,소프트,"통기성 우수, 소음 적음",냄새 적고 시원하다
윌리엄,시몬스,2750000,싱글,하드,"부드러운 쿠션감, 소음 적음, 체압분산",푹신하고 지지력 좋음
뷰티레스트 블랙,시몬스,3050000,퀸,하드,"부드러운 쿠션감, 복원력 우수, 메모리폼","허리가 편하다, 소음이 적다"
뷰티레스트 실버,시몬스,2500000,슈퍼싱글,미디엄,"체압분산, 진동흡수, 소음 적음",냄새 적고 시원하다
뷰티레스트 플래티넘,시몬스,3500000,킹,미디엄,"통기성 우수, 진동흡수",적당히 단단해서 좋음
뷰티레스트 하모니,시몬스,3650000,싱글,소프트,"통기성 우수, 고급소재",냄새 적고 시원하다
뷰티레스트 아틀리에,시몬스,3450000,슈퍼싱글,소프트,"복원력 우수, 통기성 우수, 스프링+폼 하이브리드",푹신하고 지지력 좋음
N31,시몬스,2100000,퀸,하드,"메모리폼, 부드러운 쿠션감",몸이 푹신하게 감싸진다
N34 프라임,시몬스,1700000,싱글,미디엄,"소음 적음, 진동흡수, 고급소재",몸이 푹신하게 감싸진다
N36 클래식,시몬스,2200000,슈퍼싱글,소프트,"메모리폼, 복원력 우수",몸이 푹신하게 감싸진다
케임브리지,시몬스,3800000,킹,하드,"소음 적음, 독립스프링","허리가 편하다, 소음이 적다"
슬립앤슬립,시몬스,2100000,슈퍼싱글,하드,"스프링+폼 하이브리드, 복원력 우수, 통기성 우수",가격대비 성능 좋음
윌리엄 럭셔리,시몬스,2850000,슈퍼싱글,미디엄,"부드러운 쿠션감, 스프링+폼 하이브리드",냄새 적고 시원하다
퍼펙트 슬립,시몬스,2200000,슈퍼싱글,하드,"독립스프링, 복원력 우수, 스프링+폼 하이브리드",복원력이 좋고 꺼짐이 없다
뷰티레스트 네이처,시몬스,2600000,슈퍼싱글,소프트,"체압분산, 진동흡수, 복원력 우수",냄새 적고 시원하다
헤리티지 클래식,시몬스,3500000,싱글,미디엄,"고급소재, 소음 적음, 복원력 우수",가격대비 성능 좋음
뷰티레스트 그레이스,시몬스,2050000,슈퍼싱글,하드,"진동흡수, 부드러운 쿠션감, 통기성 우수",복원력이 좋고 꺼짐이 없다
N37 프로텍트,시몬스,1900000,킹,하드,"부드러운 쿠션감, 스프링+폼 하이브리드",가격대비 성능 좋음
N40 소프트,시몬스,2050000,킹,하드,"소음 적음, 독립스프링, 통기성 우수",푹신하고 지지력 좋음
헨리 하드,시몬스,1550000,킹,미디엄,"복원력 우수, 체압분산","숙면 가능, 복원력 좋음"
헨리 소프트,시몬스,1650000,슈퍼싱글,소프트,"부드러운 쿠션감, 메모리폼, 스프링+폼 하이브리드",몸이 푹신하게 감싸진다
에드워드 하드,시몬스,3950000,슈퍼싱글,하드,"메모리폼, 스프링+폼 하이브리드","허리 통증 완화, 꺼짐 없음"
뷰티레스트 골드 소프트,시몬스,1650000,슈퍼싱글,하드,"소음 적음, 독립스프링, 복원력 우수",푹신하고 지지력 좋음
N35 LK,시몬스,3100000,킹,소프트,"통기성 우수, 진동흡수, 체압분산",적당히 단단해서 좋음
뷰티레스트 골드 하드,시몬스,1850000,킹,소프트,"독립스프링, 복원력 우수",몸이 푹신하게 감싸진다
에드워드 SS,시몬스,3550000,슈퍼싱글,하드,"고급소재, 소음 적음, 메모리폼",가격대비 성능 좋음
N36 Q,시몬스,3450000,싱글,소프트,"소음 적음, 체압분산, 독립스프링",푹신하고 지지력 좋음
슬립포켓 소프트,시몬스,3350000,킹,미디엄,"체압분산, 메모리폼, 통기성 우수",적당히 단단해서 좋음
N35 SS,시몬스,2500000,싱글,소프트,"독립스프링, 진동흡수, 체압분산",탄탄하고 안정감 있다
헨리 SS,시몬스,3800000,킹,소프트,"고급소재, 스프링+폼 하이브리드","허리 통증 완화, 꺼짐 없음"
N40 LK,시몬스,3100000,퀸,소프트,"독립스프링, 부드러운 쿠션감, 진동흡수","숙면 가능, 복원력 좋음"
